"created_at","tweet.text","state"
"Mon May 18 20:30:45 +0000 2020","President Trump just said he takes Hydroxychloroquine with Zinc to prevent him from getting COVID-19 and he’s recom… https://t.co/7sbnosD7qV","California"
"Mon May 18 20:30:52 +0000 2020","President Trump just told the Press right now that he is taking Hydroxy Chloroquine and Zinc as a Preventive agains… https://t.co/3VyjwJbnMx","California"
"Mon May 18 20:31:12 +0000 2020","US Pres Trump: Not Been Exposed To Covid-19 But I Am Taking Malaria Drug Hydroxychloroquine","New York"
"Mon May 18 20:31:15 +0000 2020","@myhlee @maggieNYT Trump’s favorite Covid-19 Abbott Test has a high percentage of false negatives.","California"
"Mon May 18 20:31:19 +0000 2020","At this time, we are sad to announce that the former Lets Prep salon is no longer. After the effects of Covid, we h… https://t.co/OHWCQIOad8","Maryland"
"Mon May 18 20:31:28 +0000 2020","@frankart07 Sorry for trying to be positive lol I feel like you're cheering for the corona virus so I don't go too a wrestling event? Lol","Ohio"
"Mon May 18 20:31:32 +0000 2020","2500.00 for people to be able to pay their bills and stay home and badly needed money for states and the USPS. You… https://t.co/2f16JNDNa0","California"
"Mon May 18 20:32:01 +0000 2020","Covid Approved gas masks are back in stock.  These are perfect for your next trip to the grocery store! @ Machine G… https://t.co/k05yHiSivK","Colorado"
"Mon May 18 20:32:05 +0000 2020","A5) Celebrating our teachers and students in a different way. I added new things to PBIS and also got shirts orders… https://t.co/3anecVkLbu","South Carolina"
"Mon May 18 20:32:05 +0000 2020","More proof #TrumpIsAnIdiot and a #LiarInChief #COVIDIDIOTS #COVID__19 #COVID https://t.co/LIDbRFvcvO","Ohio"
"Mon May 18 20:32:25 +0000 2020","Might explain the late night erratic behavior. Deadly combination when viewing a @TheRickWilson ad on Tucker.","California"
"Mon May 18 20:32:41 +0000 2020","Oh Pleeeeze! https://t.co/PgyMiJ6eQg","Florida"
"Mon May 18 20:32:47 +0000 2020","As the state lifts more restrictions, Mayor @SylvesterTurner encourages people to keep wearing facial coverings and… https://t.co/F3ETdY0Mnf","Texas"
"Mon May 18 20:32:47 +0000 2020","This is disgraceful! B/c of Wa.DOH knew that LTC’s were in jeopardy, yet nothing was done. As a first responder, I… https://t.co/ZvD8KfE8GT","New Jersey"
"Mon May 18 20:32:51 +0000 2020","John Trump is lying you are so gullible","Texas"
"Mon May 18 20:33:11 +0000 2020","Interesting read... especially if you like a Stephen King horror. This “financial nightmare” has been building for… https://t.co/a8Eq8UWuuj","North Carolina"
